ticker,close_time_utc,close_date_utc,close_time_et,close_date_et,close_hour_et,close_hour_bucket_et,horizon_seconds,selected_timestamp_utc,selected_remaining_seconds,horizon_abs_error_seconds,yes_mid,more_likely_side,more_likely_mid,cost,price_bin,official_outcome,official_raw_result,official_status,official_settlement_ts,official_settlement_value_dollars,official_expiration_value,official_floor_strike,resolved,success,gross_pnl
KXBTC15M-26JUN011930-30,2026-06-01T23:30:00Z,2026-06-01,2026-06-01T19:30:00-04:00,2026-06-01,19,16-19,60,2026-06-01T23:28:47.771000Z,72.229,12.229,0.001500,NO,0.998500,0.999000,0.90-1.00,NO,no,finalized,2026-06-01T23:30:01.818842Z,0.0000,71167.90,71266.4,1,1,0.001000
KXBTC15M-26JUN011930-30,2026-06-01T23:30:00Z,2026-06-01,2026-06-01T19:30:00-04:00,2026-06-01,19,16-19,75,2026-06-01T23:28:47.771000Z,72.229,2.771,0.001500,NO,0.998500,0.999000,0.90-1.00,NO,no,finalized,2026-06-01T23:30:01.818842Z,0.0000,71167.90,71266.4,1,1,0.001000
KXBTC15M-26JUN011930-30,2026-06-01T23:30:00Z,2026-06-01,2026-06-01T19:30:00-04:00,2026-06-01,19,16-19,90,2026-06-01T23:28:31.533000Z,88.467,1.533,0.003500,NO,0.996500,0.997000,0.90-1.00,NO,no,finalized,2026-06-01T23:30:01.818842Z,0.0000,71167.90,71266.4,1,1,0.003000
KXBTC15M-26JUN011930-30,2026-06-01T23:30:00Z,2026-06-01,2026-06-01T19:30:00-04:00,2026-06-01,19,16-19,105,2026-06-01T23:28:16.021000Z,103.979,1.021,0.008000,NO,0.992000,0.993000,0.90-1.00,NO,no,finalized,2026-06-01T23:30:01.818842Z,0.0000,71167.90,71266.4,1,1,0.007000
KXBTC15M-26JUN011930-30,2026-06-01T23:30:00Z,2026-06-01,2026-06-01T19:30:00-04:00,2026-06-01,19,16-19,120,2026-06-01T23:27:57.207000Z,122.793,2.793,0.026000,NO,0.974000,0.975000,0.90-1.00,NO,no,finalized,2026-06-01T23:30:01.818842Z,0.0000,71167.90,71266.4,1,1,0.025000
KXBTC15M-26JUN011930-30,2026-06-01T23:30:00Z,2026-06-01,2026-06-01T19:30:00-04:00,2026-06-01,19,16-19,135,2026-06-01T23:27:45.456000Z,134.544,0.456,0.019500,NO,0.980500,0.981000,0.90-1.00,NO,no,finalized,2026-06-01T23:30:01.818842Z,0.0000,71167.90,71266.4,1,1,0.019000
KXBTC15M-26JUN011930-30,2026-06-01T23:30:00Z,2026-06-01,2026-06-01T19:30:00-04:00,2026-06-01,19,16-19,150,2026-06-01T23:27:28.259000Z,151.741,1.741,0.026500,NO,0.973500,0.974000,0.90-1.00,NO,no,finalized,2026-06-01T23:30:01.818842Z,0.0000,71167.90,71266.4,1,1,0.026000
KXBTC15M-26JUN011930-30,2026-06-01T23:30:00Z,2026-06-01,2026-06-01T19:30:00-04:00,2026-06-01,19,16-19,165,2026-06-01T23:27:16.179000Z,163.821,1.179,0.032500,NO,0.967500,0.970000,0.90-1.00,NO,no,finalized,2026-06-01T23:30:01.818842Z,0.0000,71167.90,71266.4,1,1,0.030000
KXBTC15M-26JUN011930-30,2026-06-01T23:30:00Z,2026-06-01,2026-06-01T19:30:00-04:00,2026-06-01,19,16-19,180,2026-06-01T23:26:57.850000Z,182.150,2.150,0.099500,NO,0.900500,0.901000,0.90-1.00,NO,no,finalized,2026-06-01T23:30:01.818842Z,0.0000,71167.90,71266.4,1,1,0.099000
KXBTC15M-26JUN011930-30,2026-06-01T23:30:00Z,2026-06-01,2026-06-01T19:30:00-04:00,2026-06-01,19,16-19,195,2026-06-01T23:26:44.726000Z,195.274,0.274,0.105000,NO,0.895000,0.900000,0.80-0.90,NO,no,finalized,2026-06-01T23:30:01.818842Z,0.0000,71167.90,71266.4,1,1,0.100000
KXBTC15M-26JUN011930-30,2026-06-01T23:30:00Z,2026-06-01,2026-06-01T19:30:00-04:00,2026-06-01,19,16-19,210,2026-06-01T23:26:27.382000Z,212.618,2.618,0.355000,NO,0.645000,0.650000,0.60-0.70,NO,no,finalized,2026-06-01T23:30:01.818842Z,0.0000,71167.90,71266.4,1,1,0.350000
