contract_id,close_time,kalshi_outcome,polymarket_outcome,kalshi_final_price,polymarket_final_price,kalshi_btc_target,polymarket_btc_target,price_divergence_at_close,target_divergence,kalshi_margin_to_flip,polymarket_margin_to_flip,had_arb_opportunity,had_dangerous_arb,worst_tick_loss
KXBTC15M-26MAY170445-45,2026-05-17T08:45:00Z,NO,YES,78029.32,78067.51784526104,78046.78,78042.23793640913,-38.19784526103467,4.542063590866746,17.45999999999185,25.279908851909568,True,True,-0.99
KXBTC15M-26MAY170500-00,2026-05-17T09:00:00Z,YES,NO,78065.17,78059.03357058862,78045.17,78070.57973517526,6.136429411373683,-25.409735175257083,20.0,11.546164586630766,True,True,-0.89
KXBTC15M-26MAY170530-30,2026-05-17T09:30:00Z,NO,YES,78092.44,78103.87924740837,78101.71,78096.0126234598,-11.439247408372466,5.697376540207188,9.270000000004075,7.86662394857558,True,True,-0.99
KXBTC15M-26MAY170800-00,2026-05-17T12:00:00Z,NO,YES,78381.35,78380.62505096443,78389.42,78373.78284,0.7249490355752641,15.637159999998403,8.069999999992433,6.842210964430706,True,True,-0.99
KXBTC15M-26MAY170815-15,2026-05-17T12:15:00Z,YES,NO,78419.45,78358.10156598788,78386.9,78381.04378,61.34843401212129,5.8562199999869335,32.55000000000291,22.942214012131444,True,True,-0.99
KXBTC15M-26MAY170830-30,2026-05-17T12:30:00Z,NO,YES,78405.5,78395.66625762294,78411.52,78356.92733762416,9.833742377057206,54.59266237584234,6.0200000000040745,38.73891999878106,True,True,-0.89
KXBTC15M-26MAY170930-30,2026-05-17T13:30:00Z,NO,YES,78239.53,78258.520195,78246.97,78229.23592614733,-18.99019500000577,17.7340738526691,7.440000000002328,29.28426885267254,True,True,-0.996
KXBTC15M-26MAY171030-30,2026-05-17T14:30:00Z,YES,NO,78064.59,78016.01487092307,78053.12,78043.09492824637,48.575129076925805,10.025071753625525,11.470000000001164,27.080057323299116,True,True,-0.99
KXBTC15M-26MAY171430-30,2026-05-17T18:30:00Z,NO,YES,78112.13,78096.647785,78124.2,78093.9541507093,15.48221500001091,30.24584929070261,12.069999999992433,2.693634290699265,True,True,-0.998
KXBTC15M-26MAY171445-45,2026-05-17T18:45:00Z,YES,NO,78107.91,78090.17071,78107.09,78096.60083,17.73928999999771,10.48917000000074,0.8200000000069849,6.430119999989984,True,True,-0.99
KXBTC15M-26MAY171700-00,2026-05-17T21:00:00Z,NO,YES,78255.95,78258.91274948342,78269.71,78251.83714257108,-2.962749483427615,17.87285742892709,13.760000000009313,7.075606912345393,True,True,-0.99
KXBTC15M-26MAY171715-15,2026-05-17T21:15:00Z,NO,YES,78247.49,78264.34340104276,78262.97,78239.12677840884,-16.85340104275383,23.843221591159818,15.479999999995925,25.216622633917723,True,True,-0.9850000000000001
KXBTC15M-26MAY171745-45,2026-05-17T21:45:00Z,YES,NO,78394.31,78389.55939531444,78374.13,78392.4564845403,4.750604685556027,-18.32648454028822,20.179999999993015,2.897089225851232,True,True,-0.9600000000000001
KXBTC15M-26MAY172030-30,2026-05-18T00:30:00Z,YES,NO,77201.44,77117.06001931483,77111.85,77155.57584889805,84.37998068517481,-43.725848898044205,89.58999999999651,38.51582958322251,True,True,-0.99
